TSA,population
TSA A,426461
TSA B,499371
TSA C,219383
TSA D,301987
TSA E,7978890
TSA F,272706
TSA G,966646
TSA H,272582
TSA I,846295
TSA J,484991
TSA K,171019
TSA L,498460
TSA M,352691
TSA N,361178
TSA O,2357604
TSA P,2860315
TSA Q,6390345
TSA R,1290146
TSA S,176106
TSA T,296031
TSA U,594813
TSA V,1377861
